"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"31",3,30,6,5.1669,1,"Laptop",20,20,9,3,70,4,3,70,5,"Bus_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"32",3,31,7,7.7939,1,"Laptop",15,20,9,1,70,5,1,80,3,"Metro_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"33",3,32,8,4.838,1,"Laptop",15,40,8,3,70,5,3,80,4,"Metro_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"34",3,34,10,3.8142,1,"Laptop",15,20,8,1,60,6,1,60,5,"Metro_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"35",3,35,11,6.2171,1,"Laptop",15,40,8,2,50,4,2,60,3,"Metro_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"36",3,36,12,11.7714,1,"Laptop",15,30,7,2,50,6,2,80,3,"Bus_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"37",4,38,2,4.5995,4,"Laptop",20,40,8,2,70,4,2,70,5,"Metro_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"38",4,37,1,4.3271,4,"Laptop",25,20,8,1,60,4,1,60,3,"Metro_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"39",4,42,6,2.9753,4,"Laptop",25,20,9,3,50,4,3,80,3,"Metro_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"40",4,39,3,3.0624,4,"Laptop",20,30,8,2,60,5,2,60,5,"Metro_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"41",4,40,4,2.8333,4,"Laptop",25,40,7,2,70,6,2,80,5,"Metro_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"42",4,41,5,2.8667,4,"Laptop",20,40,7,3,60,6,3,60,4,"Metro_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"43",4,46,10,3.4093,4,"Laptop",20,30,9,3,50,6,3,70,4,"Metro_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"44",4,43,7,2.9042,4,"Laptop",15,20,9,2,50,6,2,80,4,"Metro_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"45",4,44,8,5.8832,4,"Laptop",20,20,8,1,50,5,1,70,4,"Metro_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"46",4,45,9,2.8002,4,"Laptop",25,40,7,1,60,5,1,80,4,"Metro_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"47",4,47,11,3.216,4,"Laptop",15,30,7,1,70,4,1,60,3,"Bus_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"48",4,48,12,2.3892,4,"Laptop",15,30,9,3,70,5,3,70,5,"Metro_label","WG","laptop",11875.20001895,23766.00000372,18918.00001204,74144.99999335,111,214,181,685,128704.20002806,1191
"49",5,51,3,17.214,1,"Laptop",25,30,8,3,60,6,3,70,3,"Metro_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
"50",5,49,1,9.4939,1,"Laptop",20,20,7,2,70,4,2,70,4,"Metro_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
"51",5,50,2,8.0997,1,"Laptop",20,40,7,3,50,5,3,60,4,"Metro_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
