"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"31",3,31,7,3.733,1,"Tablet",15,20,9,1,70,5,1,80,3,"Metro_label","WG","tablet",14905.80001279,27032.39999802,15844.20000796,96632.99999854,115,253,153,905,154415.40001731,1426
"32",3,32,8,5.8476,1,"Tablet",15,40,8,3,70,5,3,80,4,"Metro_label","WG","tablet",14905.80001279,27032.39999802,15844.20000796,96632.99999854,115,253,153,905,154415.40001731,1426
"33",3,33,9,3.9524,1,"Tablet",20,20,9,1,60,6,1,80,5,"Metro_label","WG","tablet",14905.80001279,27032.39999802,15844.20000796,96632.99999854,115,253,153,905,154415.40001731,1426
"34",3,34,10,2.6833,1,"Tablet",15,20,8,1,60,6,1,60,5,"Metro_label","WG","tablet",14905.80001279,27032.39999802,15844.20000796,96632.99999854,115,253,153,905,154415.40001731,1426
"35",3,35,11,3.9665,1,"Tablet",15,40,8,2,50,4,2,60,3,"Metro_label","WG","tablet",14905.80001279,27032.39999802,15844.20000796,96632.99999854,115,253,153,905,154415.40001731,1426
"36",3,36,12,3.478,1,"Tablet",15,30,7,2,50,6,2,80,3,"Metro_label","WG","tablet",14905.80001279,27032.39999802,15844.20000796,96632.99999854,115,253,153,905,154415.40001731,1426
"37",4,37,1,5.9313,3,"Tablet",25,40,9,1,50,4,1,60,5,"Metro_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
"38",4,38,2,5.0828,3,"Tablet",20,30,8,1,70,6,1,80,5,"Metro_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
"39",4,39,3,4.3139,3,"Tablet",15,30,8,3,50,4,3,80,5,"Metro_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
"40",4,40,4,3.3002,3,"Tablet",15,30,8,1,60,5,1,70,4,"Metro_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
"41",4,41,5,3.4669,3,"Tablet",25,20,7,3,50,5,3,60,5,"Metro_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
