"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"38",4,38,2,5.9333,3,"Smartphone",20,30,8,1,70,6,1,80,5,"Metro_label","WL","mobile",9509,14322,16133,49686,40,50,65,145,89650,300
"39",4,39,3,11.1352,3,"Smartphone",15,30,8,3,50,4,3,80,5,"Metro_label","WL","mobile",9509,14322,16133,49686,40,50,65,145,89650,300
"40",4,40,4,4.3803,3,"Smartphone",15,30,8,1,60,5,1,70,4,"Metro_label","WL","mobile",9509,14322,16133,49686,40,50,65,145,89650,300
"41",4,41,5,7.5834,3,"Smartphone",25,20,7,3,50,5,3,60,5,"Metro_label","WL","mobile",9509,14322,16133,49686,40,50,65,145,89650,300
"42",4,42,6,6.2168,3,"Smartphone",15,20,7,2,60,5,2,70,3,"Metro_label","WL","mobile",9509,14322,16133,49686,40,50,65,145,89650,300
"43",4,43,7,4.9495,3,"Smartphone",20,30,7,3,60,4,3,80,4,"Metro_label","WL","mobile",9509,14322,16133,49686,40,50,65,145,89650,300
"44",4,44,8,6.1635,3,"Smartphone",20,40,9,2,60,4,2,80,3,"Metro_label","WL","mobile",9509,14322,16133,49686,40,50,65,145,89650,300
"45",4,45,9,6.6651,3,"Smartphone",15,40,9,2,70,6,2,60,4,"Bus_label","WL","mobile",9509,14322,16133,49686,40,50,65,145,89650,300
"46",4,46,10,6.1338,3,"Smartphone",25,40,9,3,70,5,3,70,3,"Metro_label","WL","mobile",9509,14322,16133,49686,40,50,65,145,89650,300
"47",4,47,11,3.8509,3,"Smartphone",25,20,8,2,50,6,2,70,5,"Metro_label","WL","mobile",9509,14322,16133,49686,40,50,65,145,89650,300
"48",4,48,12,4.8958,3,"Smartphone",20,30,7,1,70,6,1,70,3,"Metro_label","WL","mobile",9509,14322,16133,49686,40,50,65,145,89650,300
"49",5,49,1,6.0273,2,"Smartphone",15,20,8,3,70,4,3,60,4,"RH_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"50",5,50,2,4.0342,2,"Smartphone",20,20,7,3,70,6,3,60,3,"RH_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"51",5,51,3,3.7834,2,"Smartphone",15,40,9,1,60,4,1,70,5,"Metro_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"52",5,52,4,4.6704,2,"Smartphone",25,30,8,2,70,4,2,80,4,"Metro_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"53",5,53,5,5.0324,2,"Smartphone",25,20,9,2,60,4,2,70,4,"RH_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"54",5,54,6,5.3361,2,"Smartphone",20,30,9,2,50,5,2,60,3,"Metro_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"55",5,55,7,3.529,2,"Smartphone",25,40,8,3,60,6,3,70,3,"Metro_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"56",5,56,8,6.5998,2,"Smartphone",15,30,7,3,60,4,3,80,5,"RH_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"57",5,57,9,4.3165,2,"Smartphone",20,40,8,1,50,5,1,80,3,"Metro_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"58",5,58,10,4.1617,2,"Smartphone",15,40,7,1,50,6,1,70,5,"Metro_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"59",5,59,11,3.302,2,"Smartphone",25,20,7,2,70,5,2,80,5,"RH_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"60",5,60,12,3.8998,2,"Smartphone",25,30,9,1,70,6,1,60,4,"Metro_label","WL","mobile",8433,16111,17423,12437,45,66,69,53,54404,233
"61",6,61,1,15.1437,3,"Smartphone",25,40,9,1,50,4,1,60,5,"Metro_label","WL","mobile",20286,19416,16723,25923,75,75,55,111,82348,316
"62",6,62,2,10.5835,3,"Smartphone",20,30,8,1,70,6,1,80,5,"Metro_label","WL","mobile",20286,19416,16723,25923,75,75,55,111,82348,316
"63",6,63,3,12.5846,3,"Smartphone",15,30,8,3,50,4,3,80,5,"RH_label","WL","mobile",20286,19416,16723,25923,75,75,55,111,82348,316
"64",6,64,4,8.2876,3,"Smartphone",15,30,8,1,60,5,1,70,4,"RH_label","WL","mobile",20286,19416,16723,25923,75,75,55,111,82348,316
"65",6,65,5,8.4453,3,"Smartphone",25,20,7,3,50,5,3,60,5,"Metro_label","WL","mobile",20286,19416,16723,25923,75,75,55,111,82348,316
"66",6,66,6,8.4498,3,"Smartphone",15,20,7,2,60,5,2,70,3,"RH_label","WL","mobile",20286,19416,16723,25923,75,75,55,111,82348,316
