"","b_metro","b_RH","b_time","b_cost","b_comfort","b_time_att","b_cost_att","b_comfort_att"
"b_metro",-47.8546604757291,15.9263800105355,-404.066832363711,39.2310549094144,26.7494809887945,-9.77178279198121e-12,-5.68461586858589,1.38122480738608e-18
"b_RH",15.9263800105355,-18.79226613298,610.55789624449,-61.3213203976216,-62.8182426968251,-1.8374844775606e-10,6.51589655446136,-3.048730392791e-18
"b_time",-404.066832363711,610.55789624449,-27558.42492526,3677.45633327027,1928.68623865976,8.93514893849468e-09,-228.962170831639,3.21876607226729e-16
"b_cost",39.2310549094144,-61.3213203976216,3677.45633327027,-3094.06153559403,-274.154351474422,-3.06478089661539e-09,48.263567031967,-2.62329943143165e-16
"b_comfort",26.7494809887945,-62.8182426968251,1928.68623865976,-274.154351474422,-331.513666783078,-7.78095795570741e-10,20.4359195324889,-1.37167269586801e-17
"b_time_att",-9.77178279198121e-12,-1.8374844775606e-10,8.93514893849468e-09,-3.06478089661539e-09,-7.78095795570741e-10,-2.13174968426238e-10,6.1966860501264e-11,-8.59382565827436e-28
"b_cost_att",-5.68461586858589,6.51589655446136,-228.962170831639,48.263567031967,20.4359195324889,6.1966860501264e-11,-7.46880596843964,-2.079508461279e-19
"b_comfort_att",1.38122480738608e-18,-3.048730392791e-18,3.21876607226729e-16,-2.62329943143165e-16,-1.37167269586801e-17,-8.59382565827436e-28,-2.079508461279e-19,0
