"b_opt1","b_qual","b_cost","logLike"
0,0,0,-332.710646668774
-0.0189296890637293,0.0339183400726602,0.00762921776106431,-311.496452622234
-0.0502133552416959,0.186768681774788,-0.0202323930308398,-259.798895587169
-0.0304329860276261,0.40627581327127,-0.147904425907649,-224.080010145007
-0.0234234498341509,0.598583082000083,-0.261757602403064,-213.222887044901
0.000203271369523521,0.698135607494822,-0.305692351847912,-212.072473557796
0.0117130654364334,0.696200582774508,-0.30330356971766,-212.065472346747
0.0108710363504483,0.696845924111557,-0.303606119161227,-212.065390741563
0.0108342164096601,0.696861642090352,-0.303605275471992,-212.065390540163
0.0108337774517924,0.696861325526748,-0.303604710107938,-212.065390539889
0.0108337774517924,0.696861325526748,-0.303604710107938,-212.065390539889
0.010833787894157,0.696861313280128,-0.303604700309168,-212.065390539888
0.0108337905463352,0.696861309973957,-0.303604698492218,-212.065390539888
