"b_opt1","b_qual","b_cost","logLike"
0,0,0,-324.392880502055
0.0387474939069224,0.0519428308836967,0.0128964938381047,-292.465357269
0.136420141557383,0.263698970226799,-0.0321798702657703,-236.203893689198
0.0134709521331646,0.543043652546482,-0.206623265502048,-208.782851511159
0.0435446734467997,0.670081118182832,-0.256760199605182,-205.192510322517
0.035536535888738,0.725202086432053,-0.281135878810967,-204.848970290801
0.0390506609115342,0.73057574300183,-0.283323918189785,-204.845866571337
0.038263295597007,0.730677820086313,-0.283476504485725,-204.845831058659
0.0382395937463097,0.730684234010311,-0.283488709284353,-204.845830903741
0.0382399284036312,0.730688224663665,-0.283491349463174,-204.845830901231
0.0382399284036312,0.730688224663665,-0.283491349463174,-204.845830901231
0.038240036504285,0.73068822684214,-0.283491353465943,-204.84583090123
