"b_metro","b_RH","b_time","b_cost","b_comfort","logLike"
0,0,0,0,0,-527.333898560692
0.321959020440217,-0.171223148761874,-0.00537008375545119,-0.0116833440199468,0.00237841735064017,-455.154251729082
1.12800145590073,-0.5974897636892,-0.047485285230815,-0.0535954324158436,0.0507713124222241,-348.730027954735
1.24093191719444,-1.42803424564432,-0.0896199806641225,-0.121586889332992,0.153460608679668,-329.298354578768
0.936487135408362,-2.00929277057134,-0.0976485822902308,-0.135226092996281,0.215643134996338,-327.207475676779
0.890408420622103,-2.23793132838585,-0.0998586193208264,-0.130148307550507,0.212390705470212,-327.061095866494
0.890389636392915,-2.29440277015451,-0.0998949652817863,-0.126983199605185,0.210857719491342,-327.053209310066
0.891628908311229,-2.2995777932079,-0.099825945171408,-0.126443752289827,0.210740316421543,-327.053026571003
0.891750688553673,-2.29942826516422,-0.0998187481084071,-0.126429298160545,0.210751014006922,-327.053025849967
0.891754209901777,-2.29941107537073,-0.0998185971259434,-0.126429676333474,0.2107516186522,-327.053025848914
0.891754209901777,-2.29941107537073,-0.0998185971259434,-0.126429676333474,0.2107516186522,-327.053025848914
0.891754243514661,-2.29941124022534,-0.0998186032106583,-0.126429697431601,0.210751710536524,-327.053025848913
