"b_metro","b_RH","b_time","b_cost","b_comfort","logLike"
0,0,0,0,0,-527.333898560692
0.2173988362158,-0.0989659894400657,-0.00266769091031495,-0.00686459262828373,0.00630187632079764,-478.926229865015
1.03132997066782,-0.287392109709125,-0.0241796958176045,-0.0252245941656665,0.0942408024312918,-372.880848366761
1.61948205843343,-0.657350535952546,-0.0548412836907504,-0.064722326337866,0.16136464715422,-338.432132863406
1.32520241367034,-1.06534881592636,-0.07415475112904,-0.109230023690851,0.231169235530279,-333.605531216516
1.28023266471788,-1.2929179216514,-0.0791021701981679,-0.11275641600985,0.239031354586199,-333.272442197252
1.24928142875691,-1.38912286666625,-0.0804617795027828,-0.112663593124927,0.240660676941697,-333.245939431806
1.24879284659173,-1.39260313233678,-0.0803982745842796,-0.112354727155198,0.24038922390386,-333.245777671269
1.24880133125255,-1.39288618591588,-0.0803787062201308,-0.112284721115497,0.240288569228564,-333.24577268819
1.24886822902257,-1.39332641437672,-0.0803836762317367,-0.112272442959806,0.240329959739277,-333.24577245421
1.24884637273848,-1.39324726633221,-0.0803816532012441,-0.112272003723455,0.240316370394975,-333.245772390127
1.2488456356931,-1.39324909110254,-0.0803816993773227,-0.112272051542369,0.240316476045699,-333.245772390107
1.2488456356931,-1.39324909110254,-0.0803816993773227,-0.112272051542369,0.240316476045699,-333.245772390107
1.24884552345581,-1.39324966199319,-0.0803817075074272,-0.112272047200842,0.240316487919332,-333.245772390106
