"b_opt1","b_qual","b_cost","logLike"
0,0,0,-332.710646668774
-0.0111921782236606,0.0334243270156146,0.0069690132282776,-312.18042387113
-0.0395120964439151,0.182768224076656,-0.019334311191911,-259.908881373198
-0.0550759392577007,0.41582742204297,-0.154632869370454,-218.79309773123
-0.055681435163681,0.629594562324908,-0.284136197122863,-204.442207789989
-0.052039417107166,0.770756753121809,-0.345202102732753,-201.73357299342
-0.0393799381515297,0.80458715341487,-0.360728001132408,-201.647788031791
-0.0358944385956359,0.80213690459482,-0.359557519628475,-201.646967491214
-0.036081805734134,0.802255995702852,-0.359626265200462,-201.64696488394
-0.0360815706743524,0.802256728351213,-0.359626764968808,-201.646964883868
-0.0360815706743524,0.802256728351213,-0.359626764968808,-201.646964883868
