"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_bus",0,NA,NA,NA,NA
"b_metro",0.927530265184349,0.18373447255477,5.04821034554556,0.194742920805571,4.76284458170566
"b_RH",-2.03364584932367,0.806106321468748,-2.52280101912401,0.85353868180449,-2.38260537299174
"b_time",-0.0938998431808341,0.01087686309433,-8.63298934320347,0.0130663157434404,-7.18640548908932
"b_cost",-0.137450392233228,0.0326332179605312,-4.21197788092701,0.0271155881012704,-5.06905443908805
"b_comfort",0.303211196066607,0.094867804923964,3.19614432219265,0.104697808532848,2.89606057963932
