"b_metro","b_RH","b_time","b_cost","b_comfort","logLike"
0,0,0,0,0,-527.333898560692
0.300072093534282,-0.152759194328719,-0.00450258933077804,-0.0110779502075084,0.00825117802218437,-459.405692494341
1.13855696541507,-0.589906707752671,-0.0446640418481039,-0.0538508013911243,0.11351118600655,-350.184766810026
1.26251916217373,-1.39802652136505,-0.0863113717989171,-0.125489870748064,0.236657216897408,-330.180885422378
0.978845406211079,-1.86146776608873,-0.0932678413345531,-0.138982508353216,0.290037317346973,-328.453715674551
0.927115359801788,-2.02142908798988,-0.0939424265540124,-0.138523015547382,0.304717175693096,-328.367812029507
0.927271899752337,-2.03193630304984,-0.0939163515789582,-0.137648232861873,0.303499706598638,-328.36714017143
0.927533090770713,-2.03369043752446,-0.0939006507248852,-0.137450026569224,0.303213790659788,-328.367117434288
0.927530648921266,-2.03365321316541,-0.093900026113582,-0.137450363482789,0.303211454346885,-328.367117429873
0.927530648921266,-2.03365321316541,-0.093900026113582,-0.137450363482789,0.303211454346885,-328.367117429873
0.927530265184349,-2.03364584932367,-0.0938998431808341,-0.137450392233228,0.303211196066607,-328.367117429793
