"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"69",6,9,5.4971,3,"Tablet",15,40,9,2,70,6,2,60,4,"Metro_label"
"70",6,10,7.0297,3,"Tablet",25,40,9,3,70,5,3,70,3,"RH_label"
"71",6,11,5.7856,3,"Tablet",25,20,8,2,50,6,2,70,5,"Metro_label"
"72",6,12,3.5998,3,"Tablet",20,30,7,1,70,6,1,70,3,"Metro_label"
"73",7,1,7.8798,4,"Tablet",25,20,8,1,60,4,1,60,3,"Metro_label"
"74",7,2,12.8829,4,"Tablet",20,40,8,2,70,4,2,70,5,"Bus_label"
"75",7,3,6.2949,4,"Tablet",20,30,8,2,60,5,2,60,5,"Bus_label"
"76",7,4,6.4646,4,"Tablet",25,40,7,2,70,6,2,80,5,"Metro_label"
"77",7,5,12.3347,4,"Tablet",20,40,7,3,60,6,3,60,4,"Metro_label"
"78",7,6,4.2858,4,"Tablet",25,20,9,3,50,4,3,80,3,"Metro_label"
"79",7,7,5.6845,4,"Tablet",15,20,9,2,50,6,2,80,4,"Metro_label"
"80",7,8,9.7995,4,"Tablet",20,20,8,1,50,5,1,70,4,"Metro_label"
"81",7,9,7.368,4,"Tablet",25,40,7,1,60,5,1,80,4,"Metro_label"
"82",7,10,3.4665,4,"Tablet",20,30,9,3,50,6,3,70,4,"Metro_label"
"83",7,11,5.733,4,"Tablet",15,30,7,1,70,4,1,60,3,"RH_label"
"84",7,12,5.3997,4,"Tablet",15,30,9,3,70,5,3,70,5,"Metro_label"
"85",8,1,8.0298,3,"Tablet",25,40,9,1,50,4,1,60,5,"Metro_label"
"86",8,2,4.7145,3,"Tablet",20,30,8,1,70,6,1,80,5,"Metro_label"
"87",8,3,5.1663,3,"Tablet",15,30,8,3,50,4,3,80,5,"Metro_label"
"88",8,4,5.7651,3,"Tablet",15,30,8,1,60,5,1,70,4,"Metro_label"
"89",8,5,5.8849,3,"Tablet",25,20,7,3,50,5,3,60,5,"Metro_label"
"90",8,6,4.7829,3,"Tablet",15,20,7,2,60,5,2,70,3,"Metro_label"
"91",8,7,5.5009,3,"Tablet",20,30,7,3,60,4,3,80,4,"Metro_label"
"92",8,8,4.8176,3,"Tablet",20,40,9,2,60,4,2,80,3,"Metro_label"
"93",8,9,7.1165,3,"Tablet",15,40,9,2,70,6,2,60,4,"Bus_label"
"94",8,10,6.9236,3,"Tablet",25,40,9,3,70,5,3,70,3,"Metro_label"
"95",8,11,5.8539,3,"Tablet",25,20,8,2,50,6,2,70,5,"Metro_label"
"96",8,12,5.9997,3,"Tablet",20,30,7,1,70,6,1,70,3,"Metro_label"
"97",9,1,6.9938,1,"Tablet",20,20,7,2,70,4,2,70,4,"RH_label"
"98",9,2,4.3863,1,"Tablet",20,40,7,3,50,5,3,60,4,"Metro_label"
"99",9,3,6.8323,1,"Tablet",25,30,8,3,60,6,3,70,3,"RH_label"
"100",9,4,5.8162,1,"Tablet",25,30,7,1,50,4,1,70,4,"Metro_label"
"101",9,5,8.5801,1,"Tablet",25,30,9,2,60,5,2,60,5,"Bus_label"
"102",9,6,7.3519,1,"Tablet",20,20,9,3,70,4,3,70,5,"Bus_label"
"103",9,7,5.8828,1,"Tablet",15,20,9,1,70,5,1,80,3,"Metro_label"
"104",9,8,6.7803,1,"Tablet",15,40,8,3,70,5,3,80,4,"Metro_label"
"105",9,9,5.9499,1,"Tablet",20,20,9,1,60,6,1,80,5,"Metro_label"
"106",9,10,8.9048,1,"Tablet",15,20,8,1,60,6,1,60,5,"RH_label"
"107",9,11,5.3847,1,"Tablet",15,40,8,2,50,4,2,60,3,"Metro_label"
"108",9,12,5.9394,1,"Tablet",15,30,7,2,50,6,2,80,3,"Metro_label"
"109",10,1,5.5972,4,"Tablet",25,20,8,1,60,4,1,60,3,"Metro_label"
"110",10,2,5.1189,4,"Tablet",20,40,8,2,70,4,2,70,5,"Bus_label"
"111",10,3,4.4663,4,"Tablet",20,30,8,2,60,5,2,60,5,"Bus_label"
"112",10,4,4.8365,4,"Tablet",25,40,7,2,70,6,2,80,5,"Metro_label"
"113",10,5,3.4997,4,"Tablet",20,40,7,3,60,6,3,60,4,"Metro_label"
"114",10,6,3.783,4,"Tablet",25,20,9,3,50,4,3,80,3,"Metro_label"
"115",10,7,4.3327,4,"Tablet",15,20,9,2,50,6,2,80,4,"Metro_label"
"116",10,8,3.8199,4,"Tablet",20,20,8,1,50,5,1,70,4,"Metro_label"
"117",10,9,3.5134,4,"Tablet",25,40,7,1,60,5,1,80,4,"Metro_label"
"118",10,10,3.6022,4,"Tablet",20,30,9,3,50,6,3,70,4,"Metro_label"
"119",10,11,4.8985,4,"Tablet",15,30,7,1,70,4,1,60,3,"Bus_label"
"120",10,12,4.8039,4,"Tablet",15,30,9,3,70,5,3,70,5,"Bus_label"
"121",11,1,13.127,4,"Tablet",25,20,8,1,60,4,1,60,3,"Metro_label"
"122",11,2,8.3346,4,"Tablet",20,40,8,2,70,4,2,70,5,"Bus_label"
"123",11,3,9.2864,4,"Tablet",20,30,8,2,60,5,2,60,5,"Metro_label"
"124",11,4,5.7496,4,"Tablet",25,40,7,2,70,6,2,80,5,"Metro_label"
"125",11,5,11.2662,4,"Tablet",20,40,7,3,60,6,3,60,4,"Metro_label"
"126",11,6,4.2164,4,"Tablet",25,20,9,3,50,4,3,80,3,"Metro_label"
"127",11,7,7.5979,4,"Tablet",15,20,9,2,50,6,2,80,4,"RH_label"
"128",11,8,7.2164,4,"Tablet",20,20,8,1,50,5,1,70,4,"Metro_label"
"129",11,9,4.6676,4,"Tablet",25,40,7,1,60,5,1,80,4,"Metro_label"
"130",11,10,6.1831,4,"Tablet",20,30,9,3,50,6,3,70,4,"Metro_label"
"131",11,11,9.1665,4,"Tablet",15,30,7,1,70,4,1,60,3,"Bus_label"
"132",11,12,9.1334,4,"Tablet",15,30,9,3,70,5,3,70,5,"Metro_label"
"133",12,1,5.4484,4,"Tablet",25,20,8,1,60,4,1,60,3,"Metro_label"
"134",12,2,4.2209,4,"Tablet",20,40,8,2,70,4,2,70,5,"Metro_label"
"135",12,3,5.9978,4,"Tablet",20,30,8,2,60,5,2,60,5,"Metro_label"
"136",12,4,4.8001,4,"Tablet",25,40,7,2,70,6,2,80,5,"Metro_label"
"137",12,5,5.7547,4,"Tablet",20,40,7,3,60,6,3,60,4,"Metro_label"
"138",12,6,6.0881,4,"Tablet",25,20,9,3,50,4,3,80,3,"RH_label"
"139",12,7,5.4666,4,"Tablet",15,20,9,2,50,6,2,80,4,"RH_label"
"140",12,8,4.4836,4,"Tablet",20,20,8,1,50,5,1,70,4,"Metro_label"
"141",12,9,2.6682,4,"Tablet",25,40,7,1,60,5,1,80,4,"Metro_label"
"142",12,10,5.8851,4,"Tablet",20,30,9,3,50,6,3,70,4,"RH_label"
"143",12,11,7.7164,4,"Tablet",15,30,7,1,70,4,1,60,3,"Metro_label"
"144",12,12,3.6626,4,"Tablet",15,30,9,3,70,5,3,70,5,"RH_label"
"145",13,1,10.56,1,"Tablet",20,20,7,2,70,4,2,70,4,"Metro_label"
"146",13,2,5.8328,1,"Tablet",20,40,7,3,50,5,3,60,4,"Metro_label"
"147",13,3,5.298,1,"Tablet",25,30,8,3,60,6,3,70,3,"Metro_label"
"148",13,4,3.7666,1,"Tablet",25,30,7,1,50,4,1,70,4,"Metro_label"
"149",13,5,5.6217,1,"Tablet",25,30,9,2,60,5,2,60,5,"Metro_label"
"150",13,6,8.0829,1,"Tablet",20,20,9,3,70,4,3,70,5,"RH_label"
"151",13,7,6.0137,1,"Tablet",15,20,9,1,70,5,1,80,3,"Metro_label"
"152",13,8,6.9309,1,"Tablet",15,40,8,3,70,5,3,80,4,"Metro_label"
"153",13,9,4.2996,1,"Tablet",20,20,9,1,60,6,1,80,5,"RH_label"
"154",13,10,9.6665,1,"Tablet",15,20,8,1,60,6,1,60,5,"Metro_label"
"155",13,11,6.8996,1,"Tablet",15,40,8,2,50,4,2,60,3,"Metro_label"
"156",13,12,10.6183,1,"Tablet",15,30,7,2,50,6,2,80,3,"Metro_label"
"157",14,1,5.7356,2,"Tablet",15,20,8,3,70,4,3,60,4,"Metro_label"
"158",14,2,3.3284,2,"Tablet",20,20,7,3,70,6,3,60,3,"Metro_label"
"159",14,3,3.7332,2,"Tablet",15,40,9,1,60,4,1,70,5,"Bus_label"
"160",14,4,2.8495,2,"Tablet",25,30,8,2,70,4,2,80,4,"Metro_label"
"161",14,5,4.0385,2,"Tablet",25,20,9,2,60,4,2,70,4,"Metro_label"
"162",14,6,5.0662,2,"Tablet",20,30,9,2,50,5,2,60,3,"Metro_label"
"163",14,7,3.4165,2,"Tablet",25,40,8,3,60,6,3,70,3,"Metro_label"
"164",14,8,4.8489,2,"Tablet",15,30,7,3,60,4,3,80,5,"Metro_label"
"165",14,9,3.383,2,"Tablet",20,40,8,1,50,5,1,80,3,"Metro_label"
"166",14,10,3.8964,2,"Tablet",15,40,7,1,50,6,1,70,5,"Metro_label"
"167",14,11,2.8971,2,"Tablet",25,20,7,2,70,5,2,80,5,"Metro_label"
"168",14,12,7.4632,2,"Tablet",25,30,9,1,70,6,1,60,4,"Metro_label"
"169",15,1,4.6638,4,"Tablet",25,20,8,1,60,4,1,60,3,"Metro_label"
"170",15,2,7.9014,4,"Tablet",20,40,8,2,70,4,2,70,5,"Bus_label"
"171",15,3,7.5505,4,"Tablet",20,30,8,2,60,5,2,60,5,"Metro_label"
"172",15,4,4.2998,4,"Tablet",25,40,7,2,70,6,2,80,5,"Metro_label"
"173",15,5,4.2983,4,"Tablet",20,40,7,3,60,6,3,60,4,"Metro_label"
"174",15,6,6.683,4,"Tablet",25,20,9,3,50,4,3,80,3,"Metro_label"
"175",15,7,8.9783,4,"Tablet",15,20,9,2,50,6,2,80,4,"Metro_label"
"176",15,8,5.5168,4,"Tablet",20,20,8,1,50,5,1,70,4,"Metro_label"
"177",15,9,6.5497,4,"Tablet",25,40,7,1,60,5,1,80,4,"Metro_label"
"178",15,10,5.7496,4,"Tablet",20,30,9,3,50,6,3,70,4,"Metro_label"
"179",15,11,4.8995,4,"Tablet",15,30,7,1,70,4,1,60,3,"Metro_label"
"180",15,12,12.1331,4,"Tablet",15,30,9,3,70,5,3,70,5,"RH_label"
"181",16,1,7.0149,1,"Tablet",20,20,7,2,70,4,2,70,4,"RH_label"
"182",16,2,4.9164,1,"Tablet",20,40,7,3,50,5,3,60,4,"Metro_label"
"183",16,3,8.3682,1,"Tablet",25,30,8,3,60,6,3,70,3,"Metro_label"
"184",16,4,2.5971,1,"Tablet",25,30,7,1,50,4,1,70,4,"Metro_label"
"185",16,5,2.9177,1,"Tablet",25,30,9,2,60,5,2,60,5,"Metro_label"
"186",16,6,5.0726,1,"Tablet",20,20,9,3,70,4,3,70,5,"RH_label"
"187",16,7,4.8463,1,"Tablet",15,20,9,1,70,5,1,80,3,"Metro_label"
"188",16,8,5.5536,1,"Tablet",15,40,8,3,70,5,3,80,4,"Metro_label"
"189",16,9,3.0023,1,"Tablet",20,20,9,1,60,6,1,80,5,"Metro_label"
"190",16,10,4.2912,1,"Tablet",15,20,8,1,60,6,1,60,5,"Metro_label"
"191",16,11,5.8492,1,"Tablet",15,40,8,2,50,4,2,60,3,"Metro_label"
"192",16,12,7.6335,1,"Tablet",15,30,7,2,50,6,2,80,3,"RH_label"
"193",17,1,3.028,2,"Tablet",15,20,8,3,70,4,3,60,4,"Bus_label"
"194",17,2,2.4163,2,"Tablet",20,20,7,3,70,6,3,60,3,"Metro_label"
"195",17,3,2.0137,2,"Tablet",15,40,9,1,60,4,1,70,5,"Metro_label"
"196",17,4,2.1619,2,"Tablet",25,30,8,2,70,4,2,80,4,"Metro_label"
