"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"69",6,9,3.2374,1,"Monitor",20,20,9,1,60,6,1,80,5,"Metro_label"
"70",6,10,4.5183,1,"Monitor",15,20,8,1,60,6,1,60,5,"RH_label"
"71",6,11,4.3714,1,"Monitor",15,40,8,2,50,4,2,60,3,"Metro_label"
"72",6,12,7.4686,1,"Monitor",15,30,7,2,50,6,2,80,3,"Metro_label"
"73",7,1,8.6232,2,"Monitor",15,20,8,3,70,4,3,60,4,"Bus_label"
"74",7,2,8.898,2,"Monitor",20,20,7,3,70,6,3,60,3,"Metro_label"
"75",7,3,7.6558,2,"Monitor",15,40,9,1,60,4,1,70,5,"RH_label"
"76",7,4,4.7164,2,"Monitor",25,30,8,2,70,4,2,80,4,"Metro_label"
"77",7,5,5.0996,2,"Monitor",25,20,9,2,60,4,2,70,4,"Bus_label"
"78",7,6,4.8825,2,"Monitor",20,30,9,2,50,5,2,60,3,"Metro_label"
"79",7,7,4.1535,2,"Monitor",25,40,8,3,60,6,3,70,3,"Metro_label"
"80",7,8,6.5691,2,"Monitor",15,30,7,3,60,4,3,80,5,"Metro_label"
"81",7,9,3.4485,2,"Monitor",20,40,8,1,50,5,1,80,3,"Metro_label"
"82",7,10,3.4329,2,"Monitor",15,40,7,1,50,6,1,70,5,"RH_label"
"83",7,11,4.7111,2,"Monitor",25,20,7,2,70,5,2,80,5,"Metro_label"
"84",7,12,4.0497,2,"Monitor",25,30,9,1,70,6,1,60,4,"Metro_label"
"85",8,1,8.8616,1,"Monitor",20,20,7,2,70,4,2,70,4,"Bus_label"
"86",8,2,7.707,1,"Monitor",20,40,7,3,50,5,3,60,4,"Metro_label"
"87",8,3,5.8512,1,"Monitor",25,30,8,3,60,6,3,70,3,"Metro_label"
"88",8,4,8.333,1,"Monitor",25,30,7,1,50,4,1,70,4,"Metro_label"
"89",8,5,5.0459,1,"Monitor",25,30,9,2,60,5,2,60,5,"Metro_label"
"90",8,6,6.1502,1,"Monitor",20,20,9,3,70,4,3,70,5,"Bus_label"
"91",8,7,5.8942,1,"Monitor",15,20,9,1,70,5,1,80,3,"Metro_label"
"92",8,8,6.0654,1,"Monitor",15,40,8,3,70,5,3,80,4,"Metro_label"
"93",8,9,8.4351,1,"Monitor",20,20,9,1,60,6,1,80,5,"Metro_label"
"94",8,10,7.7665,1,"Monitor",15,20,8,1,60,6,1,60,5,"Metro_label"
"95",8,11,9.0518,1,"Monitor",15,40,8,2,50,4,2,60,3,"Metro_label"
