"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"67",6,7,11.0685,3,"Smartphone",20,30,7,3,60,4,3,80,4,"Metro_label"
"68",6,8,8.969,3,"Smartphone",20,40,9,2,60,4,2,80,3,"Metro_label"
"69",6,9,4.9159,3,"Smartphone",15,40,9,2,70,6,2,60,4,"RH_label"
"70",6,10,6.1354,3,"Smartphone",25,40,9,3,70,5,3,70,3,"Metro_label"
"71",6,11,6.5483,3,"Smartphone",25,20,8,2,50,6,2,70,5,"Metro_label"
"72",6,12,4.683,3,"Smartphone",20,30,7,1,70,6,1,70,3,"Metro_label"
"73",7,1,7.0078,2,"Smartphone",15,20,8,3,70,4,3,60,4,"Bus_label"
"74",7,2,4.3548,2,"Smartphone",20,20,7,3,70,6,3,60,3,"Bus_label"
"75",7,3,2.3811,2,"Smartphone",15,40,9,1,60,4,1,70,5,"Metro_label"
"76",7,4,3.483,2,"Smartphone",25,30,8,2,70,4,2,80,4,"Metro_label"
"77",7,5,2.1662,2,"Smartphone",25,20,9,2,60,4,2,70,4,"Metro_label"
"78",7,6,2.4016,2,"Smartphone",20,30,9,2,50,5,2,60,3,"Metro_label"
"79",7,7,2.0324,2,"Smartphone",25,40,8,3,60,6,3,70,3,"Bus_label"
"80",7,8,1.7825,2,"Smartphone",15,30,7,3,60,4,3,80,5,"Metro_label"
"81",7,9,2.8831,2,"Smartphone",20,40,8,1,50,5,1,80,3,"Metro_label"
"82",7,10,5.0868,2,"Smartphone",15,40,7,1,50,6,1,70,5,"Metro_label"
"83",7,11,2.398,2,"Smartphone",25,20,7,2,70,5,2,80,5,"Metro_label"
"84",7,12,1.7206,2,"Smartphone",25,30,9,1,70,6,1,60,4,"Bus_label"
"85",8,1,6.9752,2,"Smartphone",15,20,8,3,70,4,3,60,4,"Bus_label"
"86",8,2,6.1669,2,"Smartphone",20,20,7,3,70,6,3,60,3,"Bus_label"
"87",8,3,4.6829,2,"Smartphone",15,40,9,1,60,4,1,70,5,"Metro_label"
"88",8,4,6.2502,2,"Smartphone",25,30,8,2,70,4,2,80,4,"Metro_label"
"89",8,5,4.8812,2,"Smartphone",25,20,9,2,60,4,2,70,4,"Metro_label"
"90",8,6,6.1277,2,"Smartphone",20,30,9,2,50,5,2,60,3,"Metro_label"
"91",8,7,4.712,2,"Smartphone",25,40,8,3,60,6,3,70,3,"Metro_label"
"92",8,8,10.6647,2,"Smartphone",15,30,7,3,60,4,3,80,5,"Metro_label"
"93",8,9,4.9971,2,"Smartphone",20,40,8,1,50,5,1,80,3,"Metro_label"
