"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"69",6,9,3.4805,3,"Laptop",15,40,9,2,70,6,2,60,4,"Metro_label"
"70",6,10,3.9681,3,"Laptop",25,40,9,3,70,5,3,70,3,"Metro_label"
"71",6,11,2.3635,3,"Laptop",25,20,8,2,50,6,2,70,5,"RH_label"
"72",6,12,4.3294,3,"Laptop",20,30,7,1,70,6,1,70,3,"Metro_label"
"73",7,1,7.2772,2,"Laptop",15,20,8,3,70,4,3,60,4,"RH_label"
"74",7,2,6.316,2,"Laptop",20,20,7,3,70,6,3,60,3,"Metro_label"
"75",7,3,6.5165,2,"Laptop",15,40,9,1,60,4,1,70,5,"Bus_label"
"76",7,4,5.2105,2,"Laptop",25,30,8,2,70,4,2,80,4,"Metro_label"
"77",7,5,2.8208,2,"Laptop",25,20,9,2,60,4,2,70,4,"Metro_label"
"78",7,6,6.3333,2,"Laptop",20,30,9,2,50,5,2,60,3,"Bus_label"
"79",7,7,5.3076,2,"Laptop",25,40,8,3,60,6,3,70,3,"Metro_label"
"80",7,8,4.3207,2,"Laptop",15,30,7,3,60,4,3,80,5,"Metro_label"
"81",7,9,5.2163,2,"Laptop",20,40,8,1,50,5,1,80,3,"Metro_label"
"82",7,10,1.9332,2,"Laptop",15,40,7,1,50,6,1,70,5,"Metro_label"
"83",7,11,3.0694,2,"Laptop",25,20,7,2,70,5,2,80,5,"Metro_label"
"84",7,12,2.6537,2,"Laptop",25,30,9,1,70,6,1,60,4,"Bus_label"
"85",8,1,6.7602,4,"Laptop",25,20,8,1,60,4,1,60,3,"Metro_label"
"86",8,2,7.8552,4,"Laptop",20,40,8,2,70,4,2,70,5,"Bus_label"
"87",8,3,7.0747,4,"Laptop",20,30,8,2,60,5,2,60,5,"Bus_label"
"88",8,4,4.8348,4,"Laptop",25,40,7,2,70,6,2,80,5,"Metro_label"
"89",8,5,6.935,4,"Laptop",20,40,7,3,60,6,3,60,4,"Metro_label"
"90",8,6,4.6165,4,"Laptop",25,20,9,3,50,4,3,80,3,"Metro_label"
"91",8,7,4.533,4,"Laptop",15,20,9,2,50,6,2,80,4,"Metro_label"
"92",8,8,4.7168,4,"Laptop",20,20,8,1,50,5,1,70,4,"Metro_label"
"93",8,9,6.3984,4,"Laptop",25,40,7,1,60,5,1,80,4,"Metro_label"
"94",8,10,5.4363,4,"Laptop",20,30,9,3,50,6,3,70,4,"Metro_label"
"95",8,11,5.4021,4,"Laptop",15,30,7,1,70,4,1,60,3,"Bus_label"
"96",8,12,6.3493,4,"Laptop",15,30,9,3,70,5,3,70,5,"Bus_label"
"97",9,1,5.8311,1,"Laptop",20,20,7,2,70,4,2,70,4,"Metro_label"
"98",9,2,6.2015,1,"Laptop",20,40,7,3,50,5,3,60,4,"Bus_label"
"99",9,3,7.0999,1,"Laptop",25,30,8,3,60,6,3,70,3,"Metro_label"
"100",9,4,3.0526,1,"Laptop",25,30,7,1,50,4,1,70,4,"Metro_label"
"101",9,5,7.0881,1,"Laptop",25,30,9,2,60,5,2,60,5,"RH_label"
"102",9,6,7.5268,1,"Laptop",20,20,9,3,70,4,3,70,5,"RH_label"
"103",9,7,5.683,1,"Laptop",15,20,9,1,70,5,1,80,3,"Metro_label"
"104",9,8,6.5346,1,"Laptop",15,40,8,3,70,5,3,80,4,"Metro_label"
"105",9,9,6.6201,1,"Laptop",20,20,9,1,60,6,1,80,5,"RH_label"
"106",9,10,5.0143,1,"Laptop",15,20,8,1,60,6,1,60,5,"Metro_label"
"107",9,11,7.2476,1,"Laptop",15,40,8,2,50,4,2,60,3,"Metro_label"
"108",9,12,6.3798,1,"Laptop",15,30,7,2,50,6,2,80,3,"Metro_label"
"109",10,1,5.8439,4,"Laptop",25,20,8,1,60,4,1,60,3,"Metro_label"
"110",10,2,4.296,4,"Laptop",20,40,8,2,70,4,2,70,5,"Bus_label"
"111",10,3,3.4635,4,"Laptop",20,30,8,2,60,5,2,60,5,"Bus_label"
"112",10,4,4.3472,4,"Laptop",25,40,7,2,70,6,2,80,5,"Metro_label"
"113",10,5,3.1683,4,"Laptop",20,40,7,3,60,6,3,60,4,"Metro_label"
"114",10,6,3.7999,4,"Laptop",25,20,9,3,50,4,3,80,3,"Metro_label"
"115",10,7,3.2647,4,"Laptop",15,20,9,2,50,6,2,80,4,"Metro_label"
"116",10,8,3.7666,4,"Laptop",20,20,8,1,50,5,1,70,4,"Metro_label"
"117",10,9,3.7464,4,"Laptop",25,40,7,1,60,5,1,80,4,"Metro_label"
"118",10,10,6.1655,4,"Laptop",20,30,9,3,50,6,3,70,4,"Metro_label"
"119",10,11,3.8509,4,"Laptop",15,30,7,1,70,4,1,60,3,"Bus_label"
"120",10,12,5.2143,4,"Laptop",15,30,9,3,70,5,3,70,5,"Bus_label"
"121",11,1,5.3156,1,"Laptop",20,20,7,2,70,4,2,70,4,"Metro_label"
"122",11,2,4.3827,1,"Laptop",20,40,7,3,50,5,3,60,4,"Metro_label"
"123",11,3,5.1162,1,"Laptop",25,30,8,3,60,6,3,70,3,"Metro_label"
"124",11,4,5.3831,1,"Laptop",25,30,7,1,50,4,1,70,4,"Metro_label"
