"b_opt1","b_qual","b_cost","logLike"
0,0,0,-316.075114335336
0.035154693178416,0.0542884393699983,0.0141612059558262,-283.063537605595
0.121285171562767,0.269987877792913,-0.0307161539829733,-228.033164118946
0.000649224602981641,0.543263945284773,-0.20115687981128,-202.455003335762
0.0264831959768836,0.670950329871822,-0.251304995625628,-198.994371214021
0.0180861327359692,0.725777929904486,-0.27519329283107,-198.669829220904
0.0216392976042698,0.730662651549636,-0.277185280277897,-198.667174064727
0.0209219149308454,0.730802746381676,-0.277330892756767,-198.667148169565
0.0209210477310264,0.730856845031454,-0.277359966611797,-198.667147812626
0.0209140066093089,0.730862658727119,-0.277363982576195,-198.667147806303
0.0209140066093089,0.730862658727119,-0.277363982576195,-198.667147806303
0.0209140226229513,0.730862650772348,-0.277363983303888,-198.667147806303
