"b_metro","b_RH","b_time","b_cost","b_comfort","logLike"
0,0,0,0,0,-527.333898560692
0.336583710570875,-0.183908051119817,-0.00476035854414781,-0.0124754554725449,0.0183100901283252,-452.69781568494
1.10040430450673,-0.811669440064454,-0.0444903355026411,-0.0585115599360282,0.164936404745953,-351.259787066976
1.07772758423909,-2.0196735744293,-0.0804203724215926,-0.11489365498288,0.354779701455485,-335.957444213672
0.870672551745335,-2.40582377746323,-0.0810066459224435,-0.112051484828084,0.386052124653941,-335.045191881159
0.863831762941129,-2.55043203936575,-0.083603278748172,-0.112094537128769,0.39721066323358,-334.985499719468
0.852235792074976,-2.57933206600087,-0.0839897026537053,-0.112381943448318,0.398532301775032,-334.98002024944
0.849999375346951,-2.59799875472285,-0.0842902444631779,-0.112408066867304,0.399885760240462,-334.979430454725
0.850006019722667,-2.59789952139247,-0.0842898833194174,-0.112411432555704,0.399879743691896,-334.979430445088
0.850006019722667,-2.59789952139247,-0.0842898833194174,-0.112411432555704,0.399879743691896,-334.979430445088
0.850005355870475,-2.59789832378636,-0.084289857497725,-0.112411652769385,0.399880707957198,-334.979430444975
