"b_metro","b_RH","b_time","b_cost","b_comfort","b_time_att","b_cost_att","b_comfort_att","logLike"
0,0,0,0,0,0,0,0,-527.333898560692
0.0925977061380297,-0.0448070723612954,-0.00567009792754861,-0.00655703987405763,0.0212606634682933,-3.95767342658809e-07,-3.95767342658809e-07,-3.95767342658809e-07,-503.559901255218
0.157353695123152,-0.375173134629089,-0.00832064236305737,-0.0429038017889984,-0.0704064926962488,7.38469028888521,-8.9816180871195,13.7150804822137,-481.628160447794
0.662463483129089,-0.669948834696382,-0.0159186377140067,-0.237868513649134,-0.0255373047092295,11.5756224204779,-0.516605753443084,8.24664399641621,-390.774152297096
0.747616876271983,-1.20470637393624,-0.0331113901550587,-0.205806384548578,0.0113252771590004,20.5855639939753,-0.342936061937328,334.211134026117,-357.485988957979
0.817569702097768,-2.06408384595523,-0.0576161452794885,-0.193870271921608,0.0759142233136965,20.6160642896841,-0.209376926369298,334.211134026117,-328.277975626738
0.884346690844916,-3.46050963978101,-0.0949078531426637,-0.192129494530673,0.192415560713403,20.7910720362451,-0.213062981658887,334.211134026117,-307.5511693614
1.29978122940249,-3.42267866454394,-0.105202121961543,-0.180179577480795,0.270104311174292,24.2698091777879,0.500225368055342,337.306182734134,-300.302204995042
1.18313865252536,-4.07465385506074,-0.118571869843462,-0.177623798856519,0.37548625092716,24.7631306811901,0.423081143985066,346.926448083872,-297.556901437212
1.11411260122645,-4.06646277686614,-0.120718112181993,-0.182936284018327,0.407193915377588,25.1678444015039,0.577798340181469,353.487564391839,-295.823580918885
1.0244061628752,-3.80890761424688,-0.116787667252603,-0.187093699320537,0.402918664953214,25.2038712153167,0.636691860388006,359.845599400056,-294.784728166282
1.04686633801551,-3.52164379671455,-0.112065992651159,-0.186960398319314,0.38368373779942,25.5478050659256,0.686838178941421,361.472826017846,-294.596545397432
1.05976024013313,-3.38088912316705,-0.109789275991496,-0.185190957034756,0.370540977239476,25.5642011489625,0.688554130002552,362.274726485865,-294.561622924437
1.06870976173124,-3.328690001047,-0.109166606992542,-0.183923221553704,0.367311287434836,25.5824672020869,0.701534010173901,362.879121322953,-294.551274770505
1.07454167443038,-3.29929090260078,-0.109058253920521,-0.182724180503323,0.363450953249729,25.4962407585673,0.710647888837012,363.217954723122,-294.545727455593
1.07536390574882,-3.30021429311406,-0.109286837510197,-0.182239925483282,0.362760003030711,25.4169565717424,0.719411011084672,363.303949060682,-294.544054644419
1.0745365365877,-3.30710666255253,-0.109505230489529,-0.182103559493858,0.36239589970119,25.3526735563882,0.723335819425549,363.247493913582,-294.543597784987
1.07367112129966,-3.31224562041905,-0.109594075322292,-0.182148525722909,0.362689249781813,25.3357857865322,0.724676401386276,363.206158591719,-294.543532583178
1.07337064667281,-3.31373641229758,-0.109610437908996,-0.182188030431734,0.362739882875825,25.3332014987225,0.724422433124052,363.182093426311,-294.5435250569
1.07332290706784,-3.313950392498,-0.109609035012721,-0.182199273558968,0.362791865165947,25.334696495624,0.724359201102154,363.18057401698,-294.543524674671
1.07333066691451,-3.31390166626603,-0.109607895065867,-0.182199757562698,0.362785081563035,25.3349041175393,0.724309964860284,363.180254270345,-294.543524663675
