"b_opt1","b_qual","b_cost","logLike"
0,0,0,-324.392880502055
0.0168407923247207,0.0505343348649588,0.013685467548014,-291.069549709394
0.0754528602272677,0.271671279994919,-0.0292158922857891,-227.537389948745
0.00269327755373959,0.56924623957127,-0.209337546131437,-194.692715460782
0.0081449988688736,0.767906144477256,-0.290483412294095,-188.453379086914
0.019751940346286,0.852803934777094,-0.328732533893429,-187.999721728966
0.0294556765978492,0.846925566002306,-0.325924482988986,-187.99316905083
0.0302690424805119,0.845524673542402,-0.325021212360551,-187.992900122929
0.0303014590110013,0.845537484088615,-0.325000799228667,-187.992899113593
0.0303014969149074,0.845543138296796,-0.325001762715708,-187.992899108312
0.0303014969149074,0.845543138296796,-0.325001762715708,-187.992899108312
0.0303014447365702,0.845543283476655,-0.325001824020911,-187.99289910831
